Input (Misspelled),Expected Output,Predicted Output (Top-1),Top-3 Predictions,Correct?
rtephocyte,trephocyte,trephocyte,"trephocyte, eophyte, biophyte",✅
mediatrjice,mediatrice,mediatrice,"mediatrice, mediacid, podiatrist",✅
subturriulate,subturriculate,subturriculate,"subturriculate, subtriangulate, turricula",✅
wowen,owen,owen,"owen, owenism, widowed",✅
hoorganic,homorganic,homorganic,"homorganic, manganic, biorgan",✅
zymlogenous,zymogenous,zymogenous,"zymogenous, antherogenous, chromatogenous",✅
marssosnia,marssonia,marssonia,"marssonia, russniak, marshfire",✅
ellifsh,ellfish,ellfish,"ellfish, bulliform, mollifier",✅
iyoite,inyoite,inyoite,"inyoite, pascoite, pintadoite",✅
taklability,talkability,talkability,"talkability, laminability, controllability",✅
proictorrhea,proctorrhea,proctorrhea,"proctorrhea, celiorrhea, blennorrhea",✅
skywritxing,skywriting,skywriting,"skywriting, skywriter, skyward",✅
chackchiuwma,chackchiuma,chackchiuma,"chackchiuma, batrachium, chauchat",✅
diploposic,diplopodic,diplopodic,"diplopodic, diploperistomic, diplococcoid",✅
squilfee,squilgee,squilgee,"squilgee, squirewise, aquilian",✅
prxfeminism,profeminism,profeminism,"profeminism, feministic, paulinism",✅
rial,rival,real,"real, rival, sororial",❌
havshen,harshen,harshen,"harshen, havage, lichen",✅
guplicator,duplicator,duplicator,"duplicator, preduplication, divaricator",✅
brigalw,brigalow,brigalow,"brigalow, burgall, bricklayer",✅
pericardotpomy,pericardotomy,pericardotomy,"pericardotomy, pericardiopleural, orchidotomy",✅
civzl,civil,civil,"civil, shivzoku, rival",✅
gonngial,gonangial,gonangial,"gonangial, gonal, gond",✅
chhristened,christened,christened,"christened, christendie, christicide",✅
ooblation,oblation,oblation,"oblation, oblately, ambulation",✅
canana,cananga,banana,"banana, cananga, cantina",❌
septufum,septulum,septulum,"septulum, septavalent, sertulum",✅
bushwhacyker,bushwhacker,bushwhacker,"bushwhacker, cyke, shaker",✅
hhydrometallurgy,hydrometallurgy,hydrometallurgy,"hydrometallurgy, hydromedusa, hydromechanical",✅
mopave,mohave,mohave,"mohave, knave, papaverales",✅
maharpna,maharana,maharana,"maharana, mah, sharply",✅
qsicula,sicula,sicula,"sicula, turricula, silicular",✅
teansvaalian,transvaalian,transvaalian,"transvaalian, tropicalian, transvestism",✅
inadvertunce,inadvertence,inadvertence,"inadvertence, unadvertency, unadventured",✅
awecdotage,anecdotage,anecdotage,"anecdotage, metage, cuttage",✅
monohrina,monorhina,monorhina,"monorhina, monostich, monologist",✅
eulticuspid,multicuspid,multicuspid,"multicuspid, multicostate, eulogical",✅
ichneumoinzed,ichneumonized,ichneumonized,"ichneumonized, dipneumones, pneumoperitoneum",✅
atuecologic,autecologic,autecologic,"autecologic, autocolony, myrmecological",✅
laryngotracheiutis,laryngotracheitis,laryngotracheitis,"laryngotracheitis, pharyngoscleroma, batrachium",✅
heavenlke,heavenlike,heavenlike,"heavenlike, beaver, cavelike",✅
revictualment,revictualment,revictualment,"revictualment, revivalist, eventuality",✅
iytlus,itylus,itylus,"itylus, plus, articulus",✅
esejptate,eseptate,eseptate,"eseptate, dotate, katastate",✅
misesimate,misestimate,misestimate,"misestimate, misenite, stomate",✅
tementulose,tomentulose,tomentulose,"tomentulose, cellulose, stupulose",✅
prefgurement,prefigurement,prefigurement,"prefigurement, allurement, preshipment",✅
rusto,rusot,rusot,"rusot, restow, rustred",✅
desmograpy,desmography,desmography,"desmography, desmoid, seismographical",✅
conveyancfer,conveyancer,conveyancer,"conveyancer, conventionalize, conifer",✅
haemathemmal,haemathermal,haemathermal,"haemathermal, alemmal, hematimeter",✅
trurbo,turbo,turbo,"turbo, turbid, trumpless",✅
preconsolartion,preconsolation,preconsolation,"preconsolation, preconstruct, preconizance",✅
chrsticide,christicide,christicide,"christicide, christendie, christened",✅
palamotypography,palaeotypography,palaeotypography,"palaeotypography, palamedea, calography",✅
allograph,allograph,allograph,"allograph, metallographical, calography",✅
dermataneupria,dermataneuria,dermataneuria,"dermataneuria, metatheria, undermanned",✅
uynsutured,unsutured,unsutured,"unsutured, neurosuture, unventured",✅
unautorized,unauthorized,unauthorized,"unauthorized, undersize, unbastardized",✅
thoacoscope,thoracoscope,thoracoscope,"thoracoscope, thoracoscopy, nasoscope",✅
frenaae,frenatae,frenatae,"frenatae, freelage, irena",✅
misunedrstood,misunderstood,misunderstood,"misunderstood, misenite, serfhood",✅
unoevrflowing,unoverflowing,unoverflowing,"unoverflowing, unoverclouded, merrywing",✅
albuminvization,albuminization,albuminization,"albuminization, albuminosis, authorization",✅
accelerble,accelerable,accelerable,"accelerable, accentuate, celerity",✅
bonuer,boner,boner,"boner, bongo, prologuer",✅
hronodeik,chronodeik,chronodeik,"chronodeik, chronologic, thronelike",✅
cosecnat,cosecant,cosecant,"cosecant, sacrosecular, caseinate",✅
kneehohle,kneehole,kneehole,"kneehole, kneepad, neele",✅
koveraccumulation,overaccumulation,overaccumulation,"overaccumulation, articulation, oversaturation",✅
szravey,shravey,shravey,"shravey, maravedi, contravene",✅
dissimulaeive,dissimulative,dissimulative,"dissimulative, dissipative, disdeceive",✅
phylaachora,phyllachora,phyllachora,"phyllachora, phora, heliamphora",✅
unliying,unlying,unlying,"unlying, unloaned, unlaunched",✅
acylaino,acylamino,acylamino,"acylamino, elain, salicylamide",✅
natigovernment,antigovernment,antigovernment,"antigovernment, internment, malignment",✅
whyperkinesis,hyperkinesis,hyperkinesis,"hyperkinesis, hypergenetic, physiogenesis",✅
planolindrisal,planolindrical,planolindrical,"planolindrical, planosol, planineter",✅
villiness,villainess,villainess,"villainess, flyness, villate",✅
tautecious,autecious,autecious,"autecious, heteroecious, tautegorical",✅
unreadifess,unreadiness,unreadiness,"unreadiness, unriddle, unridden",✅
zbedrock,bedrock,bedrock,"bedrock, pellock, bibcock",✅
crb,crab,crab,"crab, disorb, rhubarb",✅
pneumopeitoneum,pneumoperitoneum,pneumoperitoneum,"pneumoperitoneum, hemoperitoneum, pneumatic",✅
pleichthyologist,paleichthyologist,paleichthyologist,"paleichthyologist, physicotheologist, ichthyotoxin",✅
unebautify,unbeautify,unbeautify,"unbeautify, reunify, precaution",✅
unchargeabe,unchargeable,unchargeable,"unchargeable, unchariot, uncharacteristic",✅
uelizer,fuelizer,fuelizer,"fuelizer, vitalizer, humanizer",✅
cihcky,chicky,chicky,"chicky, croaky, zincky",✅
setulum,sertulum,sertulum,"sertulum, septulum, mallum",✅
scpochat,schochat,schochat,"schochat, chauchat, whinchat",✅
orphrion,orpharion,orpharion,"orpharion, artophorion, burion",✅
stupulone,stupulose,stupulose,"stupulose, unscrupulosity, scrupuli",✅
ovrculture,overculture,overculture,"overculture, sandculture, defaulture",✅
acentuate,accentuate,accentuate,"accentuate, eventuality, centiare",✅
stemming,stemming,stemming,"stemming, dramming, stemmatiform",✅
triptnae,triptane,triptane,"triptane, tripetaloid, stript",✅
carnegnea,carnegiea,carnegiea,"carnegiea, carnaged, farness",✅
trochonendron,trochodendron,trochodendron,"trochodendron, myzodendron, trochart",✅
intead,instead,instead,"instead, interwed, integer",✅
plarydactylous,platydactylous,platydactylous,"platydactylous, megalodactylous, dactylis",✅
rodtle,rottle,rottle,"rottle, bottle, tzontle",✅
azeriality,aeriality,aeriality,"aeriality, cerialia, sphericality",✅
cartilaginen,cartilaginean,cartilaginean,"cartilaginean, cartilaginous, cartel",✅
unadwulteratedly,unadulteratedly,unadulteratedly,"unadulteratedly, adulterate, adulterously",✅
megalodactylus,megalodactylous,megalodactylous,"megalodactylous, dactylis, sclerodactyly",✅
holographic,homographic,homographic,"homographic, xylographic, chorographic",✅
adjtory,adjutory,adjutory,"adjutory, radiatory, adjutant",✅
spiregraass,spiregrass,spiregrass,"spiregrass, spiraculiferous, tinegrass",✅
polyautograophy,polyautography,polyautography,"polyautography, autophytography, calography",✅
beeocracy,beerocracy,beerocracy,"beerocracy, logocracy, angelocracy",✅
sialjostenosis,sialostenosis,sialostenosis,"sialostenosis, blepharostenosis, stenostomia",✅
functkionless,functionless,functionless,"functionless, functionally, beaconless",✅
prjpugnation,propugnation,propugnation,"propugnation, resignation, propugnaculum",✅
ophthalmopore,ophthalmophore,ophthalmophore,"ophthalmophore, ophthalmodiagnosis, anophthalmus",✅
carriagesmtih,carriagesmith,carriagesmith,"carriagesmith, carriage, carrot",✅
tquinovate,quinovate,quinovate,"quinovate, equinox, quinonimine",✅
zneer,neer,neer,"neer, engineering, pioneership",✅
phytoflgellata,phytoflagellata,phytoflagellata,"phytoflagellata, flagellated, phytotomist",✅
lnitude,lenitude,lenitude,"lenitude, lentitude, finitude",✅
acatalctic,acatalectic,acatalectic,"acatalectic, katalytic, catalytically",✅
unwsiseness,unwiseness,unwiseness,"unwiseness, obtuseness, unusableness",✅
nippitaute,nippitate,nippitate,"nippitate, nipter, hippiatry",✅
puktterer,putterer,putterer,"putterer, litterer, leisterer",✅
chocoalte,chocolate,chocolate,"chocolate, schochat, phocomelia",✅
pinguescent,pinguescent,pinguescent,"pinguescent, uneffervescent, obsolescently",✅
viol,uviol,uviol,"uviol, estriol, vigil",✅
patophor,pastophor,pastophor,"pastophor, basommatophora, artophorion",✅
monozygoktic,monozygotic,monozygotic,"monozygotic, temporozygomatic, phaenozygous",✅
aviaripst,aviarist,aviarist,"aviarist, bonavist, apriorist",✅
blowp,blowup,blowup,"blowup, blip, blowlamp",✅
woosley,woolsey,woolsey,"woolsey, wool, akeley",✅
unforvestallable,unforestallable,unforestallable,"unforestallable, unframable, unformularize",✅
clgockhouse,clockhouse,clockhouse,"clockhouse, milkhouse, mouse",✅
ieeconomy,ineconomy,ineconomy,"ineconomy, iconometry, leucotomy",✅
hemirampihdae,hemiramphidae,hemiramphidae,"hemiramphidae, hemidemisemiquaver, hemiteratic",✅
fonfidentiality,confidentiality,confidentiality,"confidentiality, confidentiary, identity",✅
osea,osela,osela,"osela, nausea, tea",✅
teasinkgly,teasingly,teasingly,"teasingly, teasehole, wearingly",✅
monopoidum,monopodium,monopodium,"monopodium, monosporous, mongoloid",✅
waienrope,wainrope,wainrope,"wainrope, parasitotrope, waistcoat",✅
idsmayed,dismayed,dismayed,"dismayed, unportrayed, undisobeyed",✅
exhaustqlessly,exhaustlessly,exhaustlessly,"exhaustlessly, inexhaustively, trustlessly",✅
hydide,hydride,hydride,"hydride, abide, betide",✅
pacopa,bacopa,bacopa,"bacopa, packwall, patola",✅
cqhianti,chianti,chianti,"chianti, hiant, chatti",✅
hoodhoo,hoodoo,hoodoo,"hoodoo, hoochinoo, bookhood",✅
stkll,still,still,"still, strockle, pell",✅
phytottmist,phytotomist,phytotomist,"phytotomist, physiologist, phytobacteriology",✅
latpop,laptop,laptop,"laptop, latent, latrocinium",✅
conuterleague,counterleague,counterleague,"counterleague, interleague, contravene",✅
mohaev,mohave,mohave,"mohave, mohawkian, moler",✅
anglophobe,anglophobe,anglophobe,"anglophobe, inglorious, unglossiness",✅
qowherd,cowherd,cowherd,"cowherd, cowyard, nowhence",✅
pyodemria,pyodermia,pyodermia,"pyodermia, pyonephrosis, philodemic",✅
aminaocetone,aminoacetone,aminoacetone,"aminoacetone, aminoxylol, betone",✅
trolleite,trolleite,trolleite,"trolleite, triliteral, triliterally",✅
heloedrmatidae,helodermatidae,helodermatidae,"helodermatidae, malacodermatidae, heliotropian",✅
ornithogeorgaphic,ornithogeographic,ornithogeographic,"ornithogeographic, ornithic, ornithopoda",✅
commandmnet,commandment,commandment,"commandment, commons, immanent",✅
unssn,unsin,unsin,"unsin, unsound, unsynthetic",✅
fouly,folly,folly,"folly, fole, fourble",✅
insriring,inspiring,inspiring,"inspiring, inswarming, unsorting",✅
phatntasmogenetic,phantasmogenetic,phantasmogenetic,"phantasmogenetic, phellogenetic, digenetic",✅
medullizasion,medullization,medullization,"medullization, gentilization, visualization",✅
ubacrid,subacrid,subacrid,"subacrid, ubiquitarian, stubachite",✅
tyce,syce,syce,"syce, mycele, typy",✅
chapa,champa,champa,"champa, chane, chao",✅
goemantic,geomantic,geomantic,"geomantic, gigantical, strontic",✅
bacpoa,bacopa,bacopa,"bacopa, bag, backing",✅
pauliinsm,paulinism,paulinism,"paulinism, pauline, simuliidae",✅
tetrzaene,tetrazene,tetrazene,"tetrazene, tetrasomic, tetrastichous",✅
lockrmm,lockram,lockram,"lockram, sickroom, clockhouse",✅
enshrowd,enshroud,enshroud,"enshroud, recrowd, unshown",✅
anticomplement,anticomplement,anticomplement,"anticomplement, antigovernment, anticapitalist",✅
paroil,paroli,paroli,"paroli, peril, oil",✅
autecios,autecious,autecious,"autecious, autecologic, heteroecious",✅
wilile,willie,ilial,"ilial, willie, pililloo",❌
ttragicoheroicomic,tragicoheroicomic,tragicoheroicomic,"tragicoheroicomic, tetrasomic, diploperistomic",✅
uglsome,uglisome,uglisome,"uglisome, tellsome, nullisome",✅
phoeniean,phoenicean,phoenicean,"phoenicean, oenin, phone",✅
tragicoheroicopic,tragicoheroicomic,tragicoheroicomic,"tragicoheroicomic, photoscopic, atropic",✅
constrigency,constringency,constringency,"constringency, construe, constellate",✅
medullizatoin,medullization,medullization,"medullization, gentilization, visualization",✅
nnpareil,nonpareil,nonpareil,"nonpareil, nonpar, unpartably",✅
eratva,erava,erava,"erava, eranist, rerate",✅
sip,saip,saip,"saip, siphonate, sie",✅
nonslaqveholding,nonslaveholding,nonslaveholding,"nonslaveholding, nonlabeling, yielding",✅
phrvynid,phrynid,phrynid,"phrynid, ptinid, ophionid",✅
dopper,dopper,dopper,"dopper, hepper, choppered",✅
applosiwe,applosive,applosive,"applosive, apple, apolista",✅
triassc,triassic,triassic,"triassic, triplasic, triactinal",✅
subtubrriculate,subturriculate,subturriculate,"subturriculate, turricula, subtriangulate",✅
disjetal,dispetal,dispetal,"dispetal, distally, dietal",✅
ciunari,chunari,chunari,"chunari, begari, funariaceae",✅
expelluble,expellable,expellable,"expellable, experiencible, experienceable",✅
einvault,envault,envault,"envault, forfault, preinvocation",✅
uonverflowing,unoverflowing,unoverflowing,"unoverflowing, overshadowingly, conversationism",✅
isopilocapine,isopilocarpine,isopilocarpine,"isopilocarpine, pilocarpine, antilocapridae",✅
electrokpnetics,electrokinetics,electrokinetics,"electrokinetics, electromagnetical, electrooptic",✅
melaissigenic,melassigenic,melassigenic,"melassigenic, epirogenic, epeirogenic",✅
slaw,sclaw,sclaw,"sclaw, sallow, baw",✅
tandme,tandem,tandem,"tandem, commandment, astoundment",✅
artopohrion,artophorion,artophorion,"artophorion, articulation, orpharion",✅
afvoress,favoress,favoress,"favoress, archeress, afresh",✅
winrow,windrow,windrow,"windrow, window, wainrope",✅
uinmperial,unimperial,unimperial,"unimperial, periarterial, imperite",✅
unrvoing,unroving,unroving,"unroving, unreviewable, unvoicing",✅
elleted,pelleted,pelleted,"pelleted, billethead, enlisted",✅
eulgical,eulogical,eulogical,"eulogical, telergical, micrurgical",✅
discussajble,discussable,discussable,"discussable, undiscussable, discoursively",✅
sciunrid,sciurid,sciurid,"sciurid, unriddle, unridden",✅
backign,backing,backing,"backing, backfiller, consign",✅
cottifwrm,cottiform,cottiform,"cottiform, cystiform, tottie",✅
macyurous,macrurous,macrurous,"macrurous, macrocladous, goustrous",✅
photoscepic,photoscopic,photoscopic,"photoscopic, photospectroscopic, photo",✅
dfeendable,defendable,defendable,"defendable, offendable, undefendable",✅
chattig,chatting,chatti,"chatti, chatting, matti",❌
shutku,shutoku,shutoku,"shutoku, shucking, shivzoku",✅
psychrophle,psychrophile,psychrophile,"psychrophile, psychrometric, psychophobia",✅
inoculaion,inoculation,inoculation,"inoculation, inoculate, inculpate",✅
confonedly,confinedly,confinedly,"confinedly, conformal, contentedly",✅
yesthesia,myesthesia,esthesio,"esthesio, myesthesia, photaesthesis",❌
preadotp,preadopt,preadopt,"preadopt, preadjustment, bread",✅
chylothorax,chylothorax,chylothorax,"chylothorax, clotho, cotylophora",✅
edcoctum,decoctum,decoctum,"decoctum, pennisetum, coco",✅
overtburnable,overturnable,overturnable,"overturnable, overtint, overidly",✅
septavaelnt,septavalent,septavalent,"septavalent, eseptate, septulum",✅
bralafumble,barlafumble,barlafumble,"barlafumble, jumbler, semble",✅
fniity,finity,finity,"finity, inanity, pity",✅
mailoidea,maioidea,maioidea,"maioidea, maioid, arachnoidea",✅
objvectification,objectification,objectification,"objectification, certification, resinification",✅
perchlorabte,perchlorate,perchlorate,"perchlorate, pericholangitis, perforable",✅
phagomacia,phagomania,phagomania,"phagomania, goma, lagomorpha",✅
carossant,caressant,caressant,"caressant, carburant, aversant",✅
idsabuse,disabuse,disabuse,"disabuse, mouse, trouse",✅
hobomkoco,hobomoco,hobomoco,"hobomoco, coco, hoodoo",✅
